Assignment Name,Student Name,Score At Due Date,Score Best Ever,Points Possible,Number Of Attempts,Most Recent Completion Date,Start Date,Due Date,Assignment URL,Assignment Type,Due Date (no time)
Comparing numbers to 10,Ned Ethans,,,,0,,"Sep 29th, 4:50PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-comparing-numbers/e/comparing-numbers-through-10,Exercise,"Oct 8th, "
Add within 10,Anna Kite,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,April Luna,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Andy Hong,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Abby Nguyen,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Everett Chase,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Kyle Anderson,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Kevin Martelle,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Misa Bing,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Ned Ethans,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Olsen Le,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Add within 10,Terry Long,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/put-together,Exercise,"Oct 8th, "
Subtract within 10,Anna Kite,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,April Luna,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Andy Hong,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Abby Nguyen,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Everett Chase,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Kyle Anderson,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Kevin Martelle,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Misa Bing,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Ned Ethans,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Olsen Le,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Subtract within 10,Terry Long,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/e/take-apart,Exercise,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Anna Kite,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,April Luna,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Andy Hong,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Abby Nguyen,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Everett Chase,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Kyle Anderson,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Kevin Martelle,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Misa Bing,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
Addition and subtraction intro: Quiz 2,Ned Ethans,,,,0,,"Sep 29th, 4:48PM","Oct 8th, 11:59PM",https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics#cc-early-math-add-sub-basics-quiz-2,Quiz,"Oct 8th, "
